,Date,Country,City,Specie,count,min,max,median,variance
714021,08/06/2020,IN,Thrissur,so2,72,1.3,12.8,2.2,183.16
714022,13/01/2020,IN,Thrissur,so2,18,0.4,16.0,2.9,220.25
714023,10/02/2020,IN,Thrissur,so2,24,1.7,5.5,3.0,16.25
714024,05/03/2020,IN,Thrissur,so2,24,1.2,4.5,3.5,11.17
714025,16/04/2020,IN,Thrissur,so2,72,1.6,9.9,2.5,94.05
714026,07/05/2020,IN,Thrissur,so2,43,0.1,6.5,2.4,15.75
714027,26/06/2020,IN,Thrissur,so2,72,1.4,12.1,2.6,181.07
714028,08/02/2020,IN,Thrissur,so2,24,0.8,4.1,2.7,10.07
714029,20/03/2020,IN,Thrissur,so2,24,1.2,3.7,2.8,4.23
714030,30/03/2020,IN,Thrissur,so2,52,1.6,15.5,3.1,268.69
714031,04/04/2020,IN,Thrissur,so2,61,1.0,10.0,3.1,99.88
714032,28/05/2020,IN,Thrissur,so2,72,1.0,6.9,2.4,41.5
714033,31/01/2020,IN,Thrissur,so2,24,0.5,4.3,3.3,13.24
714034,07/02/2020,IN,Thrissur,so2,19,0.3,27.0,3.5,495.03
714035,14/03/2020,IN,Thrissur,so2,24,2.1,3.3,2.8,1.24
714036,14/04/2020,IN,Thrissur,so2,49,1.8,8.7,2.2,11.17
714037,22/06/2020,IN,Thrissur,so2,48,1.4,11.5,1.4,225.13
714038,06/01/2020,IN,Thrissur,so2,17,0.1,56.2,4.3,4961.28
714039,25/02/2020,IN,Thrissur,so2,24,0.1,7.1,4.1,47.1
714040,19/04/2020,IN,Thrissur,so2,63,1.8,9.7,3.7,94.74
714041,02/06/2020,IN,Thrissur,so2,72,1.2,9.5,2.5,79.5
714042,11/06/2020,IN,Thrissur,so2,72,1.2,17.7,2.6,202.07
714043,19/02/2020,IN,Thrissur,so2,24,1.2,8.0,3.1,31.57
714044,12/03/2020,IN,Thrissur,so2,24,1.3,3.9,3.0,6.01
714045,21/05/2020,IN,Thrissur,so2,71,1.2,7.3,2.7,39.65
714046,31/05/2020,IN,Thrissur,so2,72,1.2,7.4,2.5,44.55
714047,13/06/2020,IN,Thrissur,so2,72,0.6,15.7,2.4,199.13
714048,17/06/2020,IN,Thrissur,so2,48,2.1,16.3,3.7,181.31
714049,19/01/2020,IN,Thrissur,so2,22,0.5,35.1,7.1,1247.68
714050,02/03/2020,IN,Thrissur,so2,13,2.4,4.0,3.0,3.51
714051,04/03/2020,IN,Thrissur,so2,24,2.2,5.2,3.0,7.8
714052,31/03/2020,IN,Thrissur,so2,72,1.7,15.0,2.6,242.98
714053,19/05/2020,IN,Thrissur,so2,70,1.1,8.7,3.0,47.72
714054,19/06/2020,IN,Thrissur,so2,59,1.4,14.0,3.1,164.85
714055,12/05/2020,IN,Thrissur,so2,72,0.4,21.5,1.5,118.28
714056,06/06/2020,IN,Thrissur,so2,58,0.8,12.8,2.2,201.99
714057,13/02/2020,IN,Thrissur,so2,24,1.7,6.1,3.4,11.98
714058,29/03/2020,IN,Thrissur,so2,41,1.7,14.4,3.6,255.31
714059,21/04/2020,IN,Thrissur,so2,66,0.1,11.4,2.9,71.86
714060,29/04/2020,IN,Thrissur,so2,52,1.5,9.7,3.1,101.57
714061,08/05/2020,IN,Thrissur,so2,72,1.3,11.7,2.6,57.45
714062,25/06/2020,IN,Thrissur,so2,72,1.4,11.9,2.6,178.42
714063,28/06/2020,IN,Thrissur,so2,72,1.4,11.4,3.2,171.24
714064,11/01/2020,IN,Thrissur,so2,16,0.1,19.0,2.2,472.32
