date,pm25,pm10,o3,no2,so2,co,city
22/07/2020,58,22,11,2,8,3,guwahati
23/07/2020,45,22,9,2,8,3,guwahati
24/07/2020,48,27,7,2,8,3,guwahati
25/07/2020,56,29,9,1,8,2,guwahati
26/07/2020,70,34,8,4,8,4,guwahati
27/07/2020,74,34,9,4,8,3,guwahati
28/07/2020,71,0,0,0,0,0,guwahati
03/01/2020,127,61,31,17,5,6,jabalpur
04/01/2020,67,75,30,8,3,3,jabalpur
05/01/2020,93,74,45,12,4,5,jabalpur
06/01/2020,63,52,27,13,2,7,jabalpur
07/01/2020,76,44,25,10,7,10,jabalpur
13/01/2020,157,123,26,24,4,11,jabalpur
14/01/2020,152,93,27,23,5,11,jabalpur
15/01/2020,139,90,28,17,4,7,jabalpur
16/01/2020,139,97,15,18,3,9,jabalpur
17/01/2020,168,90,19,19,3,8,jabalpur
18/01/2020,162,89,16,19,3,9,jabalpur
19/01/2020,150,137,19,23,4,13,jabalpur
20/01/2020,187,98,22,24,5,11,jabalpur
21/01/2020,147,103,15,20,2,11,jabalpur
22/01/2020,165,95,28,21,2,8,jabalpur
23/01/2020,152,105,26,27,3,11,jabalpur
24/01/2020,141,126,26,32,3,10,jabalpur
25/01/2020,160,164,28,32,3,14,jabalpur
26/01/2020,172,81,25,22,4,9,jabalpur
27/01/2020,113,91,27,25,5,10,jabalpur
28/01/2020,125,99,20,23,4,10,jabalpur
29/01/2020,130,84,23,19,2,8,jabalpur
30/01/2020,132,79,28,20,3,8,jabalpur
31/01/2020,120,89,30,22,4,8,jabalpur
01/02/2020,143,68,16,17,2,9,jabalpur
02/02/2020,124,87,26,21,5,9,jabalpur
03/02/2020,108,114,5,33,3,14,jabalpur
04/02/2020,107,54,32,7,2,3,jabalpur
05/02/2020,119,73,48,11,4,5,jabalpur
06/02/2020,65,43,25,8,2,4,jabalpur
07/02/2020,72,47,22,9,5,7,jabalpur
13/02/2020,152,153,31,34,4,13,jabalpur
14/02/2020,158,145,30,30,3,11,jabalpur
15/02/2020,146,117,31,31,3,11,jabalpur
16/02/2020,128,113,27,32,3,11,jabalpur
17/02/2020,119,112,29,26,3,10,jabalpur
18/02/2020,114,76,29,21,4,7,jabalpur
19/02/2020,85,84,34,17,8,5,jabalpur
20/02/2020,114,80,34,14,9,4,jabalpur
21/02/2020,139,99,24,19,5,7,jabalpur
22/02/2020,156,97,27,15,3,7,jabalpur
23/02/2020,167,107,30,19,1,9,jabalpur
24/02/2020,168,83,28,18,2,7,jabalpur
25/02/2020,136,108,31,25,7,10,jabalpur
26/02/2020,135,111,31,26,5,11,jabalpur
27/02/2020,136,107,32,25,6,11,jabalpur
28/02/2020,129,103,37,23,8,8,jabalpur
29/02/2020,133,80,34,15,6,6,jabalpur
01/03/2020,125,101,15,23,2,12,jabalpur
02/03/2020,132,92,12,23,3,9,jabalpur
03/03/2020,136,90,26,24,4,10,jabalpur
04/03/2020,66,53,38,8,3,3,jabalpur
05/03/2020,122,71,44,7,4,3,jabalpur
06/03/2020,55,20,23,8,2,3,jabalpur
07/03/2020,72,52,28,7,11,6,jabalpur
13/03/2020,79,68,24,16,3,7,jabalpur
14/03/2020,94,81,29,16,3,6,jabalpur
15/03/2020,110,87,33,18,2,7,jabalpur
16/03/2020,105,84,35,15,3,6,jabalpur
17/03/2020,99,78,44,17,4,6,jabalpur
18/03/2020,104,69,25,20,3,6,jabalpur
19/03/2020,115,55,32,16,3,4,jabalpur
20/03/2020,89,64,35,14,3,3,jabalpur
21/03/2020,85,67,35,13,2,4,jabalpur
22/03/2020,109,61,32,11,3,4,jabalpur
23/03/2020,95,63,33,9,3,3,jabalpur
24/03/2020,105,60,31,8,3,2,jabalpur
25/03/2020,90,36,31,9,2,2,jabalpur
26/03/2020,73,51,24,9,2,1,jabalpur
27/03/2020,91,43,23,10,2,2,jabalpur
28/03/2020,79,43,29,9,2,2,jabalpur
29/03/2020,74,44,31,8,2,2,jabalpur
30/03/2020,72,40,33,7,3,2,jabalpur
31/03/2020,61,44,33,7,3,2,jabalpur
01/04/2020,161,117,18,22,3,12,jabalpur
02/04/2020,164,121,18,28,4,12,jabalpur
03/04/2020,122,96,25,24,4,10,jabalpur
04/04/2020,74,56,32,9,3,3,jabalpur
05/04/2020,94,39,40,8,5,3,jabalpur
06/04/2020,33,33,24,11,1,5,jabalpur
07/04/2020,76,35,24,5,9,6,jabalpur
13/04/2020,110,67,29,8,2,2,jabalpur
14/04/2020,90,52,37,8,2,2,jabalpur
15/04/2020,78,63,33,9,2,3,jabalpur
16/04/2020,102,86,36,13,4,6,jabalpur
17/04/2020,140,86,31,13,3,5,jabalpur
18/04/2020,134,66,29,11,3,3,jabalpur
19/04/2020,110,67,31,9,3,2,jabalpur
20/04/2020,106,82,29,9,2,2,jabalpur
21/04/2020,103,74,27,12,3,5,jabalpur
22/04/2020,106,67,32,9,3,5,jabalpur
23/04/2020,93,68,30,10,4,6,jabalpur
24/04/2020,102,64,38,9,3,5,jabalpur
25/04/2020,93,62,41,7,4,5,jabalpur
26/04/2020,95,31,37,6,3,5,jabalpur
27/04/2020,57,42,39,11,2,6,jabalpur
28/04/2020,78,51,41,11,2,5,jabalpur
29/04/2020,89,56,42,9,3,3,jabalpur
30/04/2020,77,59,39,11,3,5,jabalpur
01/05/2020,173,104,21,25,2,11,jabalpur
02/05/2020,182,84,25,20,4,7,jabalpur
03/05/2020,129,101,25,21,5,7,jabalpur
04/05/2020,86,55,25,8,2,3,jabalpur
05/05/2020,72,48,38,9,1,2,jabalpur
06/05/2020,50,52,32,11,1,4,jabalpur
07/05/2020,66,31,20,9,26,8,jabalpur
13/05/2020,69,48,44,8,2,3,jabalpur
14/05/2020,81,57,41,7,2,2,jabalpur
15/05/2020,86,47,43,6,2,2,jabalpur
16/05/2020,73,48,46,5,2,3,jabalpur
17/05/2020,75,39,43,7,2,2,jabalpur
18/05/2020,68,62,46,12,3,4,jabalpur
19/05/2020,93,94,47,14,3,6,jabalpur
20/05/2020,133,87,42,16,4,8,jabalpur
21/05/2020,111,92,35,13,3,8,jabalpur
22/05/2020,101,89,27,11,2,4,jabalpur
23/05/2020,90,83,32,8,2,3,jabalpur
24/05/2020,80,77,31,7,3,3,jabalpur
25/05/2020,74,73,31,8,3,4,jabalpur
26/05/2020,71,78,26,8,3,3,jabalpur
27/05/2020,73,85,29,7,2,3,jabalpur
28/05/2020,72,72,28,11,3,4,jabalpur
29/05/2020,72,74,39,14,3,4,jabalpur
30/05/2020,84,75,35,9,2,2,jabalpur
31/05/2020,83,57,30,12,2,5,jabalpur
01/06/2020,154,102,24,26,7,10,jabalpur
02/06/2020,137,91,24,19,11,7,jabalpur
03/06/2020,139,100,25,17,4,6,jabalpur
04/06/2020,100,55,36,7,3,2,jabalpur
05/06/2020,57,49,40,9,2,4,jabalpur
06/06/2020,65,48,39,9,1,3,jabalpur
07/06/2020,58,27,12,7,26,6,jabalpur
13/06/2020,93,36,26,10,1,5,jabalpur
14/06/2020,63,42,28,10,2,5,jabalpur
15/06/2020,55,43,28,10,1,6,jabalpur
16/06/2020,46,55,29,9,2,4,jabalpur
17/06/2020,76,45,33,8,0,4,jabalpur
18/06/2020,54,42,30,9,1,4,jabalpur
19/06/2020,54,53,25,8,2,5,jabalpur
20/06/2020,56,53,30,8,1,4,jabalpur
21/06/2020,67,39,25,12,2,6,jabalpur
22/06/2020,61,46,19,9,2,7,jabalpur
23/06/2020,59,48,23,7,8,4,jabalpur
24/06/2020,51,53,18,13,6,7,jabalpur
25/06/2020,69,35,16,11,6,6,jabalpur
26/06/2020,42,46,20,8,6,6,jabalpur
27/06/2020,54,31,20,5,6,3,jabalpur
28/06/2020,43,33,26,11,7,8,jabalpur
29/06/2020,55,45,23,8,5,6,jabalpur
30/06/2020,68,49,22,8,4,6,jabalpur
01/07/2020,139,75,23,16,6,8,jabalpur
02/07/2020,155,94,34,19,4,7,jabalpur
03/07/2020,112,79,30,14,3,5,jabalpur
04/07/2020,99,61,39,6,2,2,jabalpur
05/07/2020,73,53,40,7,2,3,jabalpur
06/07/2020,62,55,32,12,2,6,jabalpur
07/07/2020,59,46,15,7,12,5,jabalpur
13/07/2020,58,50,9,12,5,6,jabalpur
14/07/2020,70,44,20,11,4,5,jabalpur
15/07/2020,73,35,15,8,3,4,jabalpur
16/07/2020,61,37,16,7,5,4,jabalpur
17/07/2020,62,47,19,7,6,3,jabalpur
18/07/2020,68,41,16,6,4,3,jabalpur
19/07/2020,57,40,14,8,4,4,jabalpur
20/07/2020,58,31,12,8,5,4,jabalpur
21/07/2020,56,43,13,8,4,5,jabalpur
22/07/2020,57,44,16,10,5,5,jabalpur
23/07/2020,69,43,20,8,4,4,jabalpur
24/07/2020,68,43,21,6,6,3,jabalpur
25/07/2020,97,28,18,5,4,2,jabalpur
26/07/2020,63,41,15,9,5,6,jabalpur
27/07/2020,62,39,15,10,4,6,jabalpur
28/07/2020,66,31,10,8,5,4,jabalpur
29/07/2020,57,0,0,0,0,0,jabalpur
03/01/2020,85,69,33,16,5,3,kota
04/01/2020,85,53,16,6,4,3,kota
05/01/2020,70,37,23,4,3,4,kota
06/01/2020,75,45,31,4,4,3,kota
07/01/2020,74,47,16,5,2,3,kota
13/01/2020,122,51,17,9,3,4,kota
14/01/2020,89,68,23,11,3,5,kota
15/01/2020,131,63,14,8,3,4,kota
16/01/2020,125,58,30,8,7,7,kota
17/01/2020,110,61,22,7,3,8,kota
18/01/2020,107,60,17,8,3,5,kota
19/01/2020,111,66,25,10,4,4,kota
20/01/2020,106,81,21,11,4,4,kota
21/01/2020,124,60,21,10,3,4,kota
22/01/2020,90,67,11,9,3,5,kota
