date,pm25,pm10,o3,no2,so2,co,city
2020-01-09,93,69,27,13,4,5,kota
2020-01-10,113,71,27,13,4,6,kota
2020-01-11,125,65,31,13,4,7,kota
2020-01-12,132,78,27,10,3,4,kota
2020-01-13,122,51,17,9,3,4,kota
2020-01-14,89,68,23,11,3,5,kota
2020-01-15,131,63,14,8,3,4,kota
2020-01-16,125,58,30,8,7,7,kota
2020-01-17,110,61,22,7,3,8,kota
2020-01-18,107,60,17,8,3,5,kota
2020-01-19,111,66,25,10,4,4,kota
2020-01-20,106,81,21,11,4,4,kota
2020-01-21,124,60,21,10,3,4,kota
2020-01-22,90,67,11,9,3,5,kota
2020-01-23,108,53,2,10,4,4,kota
2020-01-24,87,68,17,13,4,6,kota
2020-01-25,98,80,8,11,4,6,kota
2020-01-26,113,75,36,6,6,10,kota
2020-01-27,101,51,27,7,3,2,kota
2020-01-28,72,43,28,7,3,5,kota
2020-01-29,66,53,8,8,3,5,kota
2020-01-30,87,56,3,7,3,5,kota
2020-01-31,83,61,14,8,4,5,kota
2020-02-01,98,65,8,7,3,5,kota
2020-02-02,104,67,7,8,3,6,kota
2020-02-03,108,79,8,9,4,5,kota
2020-02-04,116,65,4,8,3,5,kota
2020-02-05,110,74,27,16,3,5,kota
2020-02-06,129,69,26,29,5,7,kota
2020-02-07,133,78,34,21,4,6,kota
2020-02-08,139,78,23,11,4,4,kota
2020-02-09,134,73,9,15,4,5,kota
2020-02-10,130,80,8,10,4,5,kota
2020-02-11,135,87,23,11,4,6,kota
2020-02-12,139,75,34,15,4,5,kota
2020-02-13,124,62,29,13,4,4,kota
2020-02-14,111,51,20,13,5,7,kota
2020-02-15,104,54,13,11,4,6,kota
2020-02-16,101,66,10,17,5,5,kota
2020-02-17,116,60,17,14,4,5,kota
2020-02-18,111,47,12,13,4,4,kota
2020-02-19,79,61,41,11,4,5,kota
2020-02-20,100,70,41,10,3,4,kota
2020-02-21,116,64,38,10,5,5,kota
2020-02-22,111,64,38,13,5,5,kota
2020-02-23,116,58,40,20,4,4,kota
2020-02-24,92,66,26,29,5,7,kota
2020-02-25,117,77,17,29,5,6,kota
2020-02-26,113,71,5,27,5,4,kota
2020-02-27,112,71,26,27,5,4,kota
2020-02-28,115,65,25,19,6,4,kota
2020-02-29,107,65,26,17,4,4,kota
2020-03-01,85,69,33,16,5,3,kota
2020-03-02,103,67,16,18,5,5,kota
2020-03-03,136,69,27,17,5,4,kota
2020-03-04,128,71,30,13,6,6,kota
2020-03-05,126,55,24,11,4,3,kota
2020-03-06,80,42,20,15,4,4,kota
2020-03-07,64,52,11,17,4,4,kota
2020-03-08,86,70,22,20,3,6,kota
2020-03-09,107,69,13,15,4,3,kota
2020-03-10,95,53,14,12,3,3,kota
2020-03-11,97,47,16,10,4,3,kota
2020-03-12,91,73,13,8,4,3,kota
2020-03-13,112,74,51,9,3,3,kota
2020-03-14,165,77,26,19,4,3,kota
2020-03-15,130,72,39,13,8,6,kota
2020-03-16,119,73,30,12,3,5,kota
2020-03-17,115,74,35,14,4,5,kota
2020-03-18,121,67,30,13,4,4,kota
2020-03-19,109,65,30,9,4,2,kota
2020-03-20,96,59,28,9,4,5,kota
2020-03-21,94,70,24,10,4,4,kota
2020-03-22,112,62,24,7,4,5,kota
2020-03-23,99,65,23,6,4,4,kota
2020-03-24,105,57,20,5,4,3,kota
2020-03-25,84,36,19,5,4,3,kota
2020-03-26,71,28,12,4,4,3,kota
2020-03-27,52,53,20,5,4,4,kota
2020-03-28,77,54,23,5,4,3,kota
2020-03-29,72,57,28,5,4,3,kota
2020-03-30,74,63,30,6,4,4,kota
2020-03-31,82,69,26,4,4,3,kota
2020-04-01,85,53,16,6,4,3,kota
2020-04-02,69,54,25,5,4,3,kota
2020-04-03,71,54,28,5,4,4,kota
2020-04-04,74,58,27,6,4,4,kota
2020-04-05,83,63,27,6,4,4,kota
2020-04-06,91,62,30,5,4,3,kota
2020-04-07,89,74,26,5,4,3,kota
2020-04-08,108,63,30,5,5,3,kota
2020-04-09,94,63,26,6,4,5,kota
2020-04-10,96,56,28,4,5,5,kota
2020-04-11,95,50,27,5,4,4,kota
2020-04-12,90,52,20,4,4,3,kota
2020-04-13,90,58,25,4,4,4,kota
2020-04-14,97,49,25,3,4,4,kota
2020-04-15,86,49,23,3,3,4,kota
2020-04-16,77,63,25,3,3,3,kota
2020-04-17,104,42,22,2,3,3,kota
2020-04-18,72,55,24,3,3,4,kota
2020-04-19,88,50,28,4,3,4,kota
2020-04-20,87,36,23,5,3,5,kota
2020-04-21,72,48,24,6,3,4,kota
2020-04-22,78,57,29,5,3,4,kota
2020-04-23,86,49,23,5,4,4,kota
2020-04-24,78,58,21,6,4,4,kota
2020-04-25,89,60,22,5,4,4,kota
2020-04-26,89,38,25,5,3,3,kota
2020-04-27,65,49,26,6,4,5,kota
2020-04-28,81,63,32,7,4,5,kota
2020-04-29,103,59,26,5,4,4,kota
2020-04-30,95,37,25,4,3,4,kota
2020-05-01,70,37,23,4,3,4,kota
2020-05-02,66,47,20,4,3,3,kota
2020-05-03,88,48,23,5,3,4,kota
2020-05-04,83,47,27,7,3,4,kota
2020-05-05,89,50,34,6,6,4,kota
2020-05-06,92,33,26,15,3,3,kota
2020-05-07,72,56,22,10,3,3,kota
2020-05-08,104,47,23,10,4,3,kota
2020-05-09,77,53,27,9,4,3,kota
2020-05-10,77,43,24,5,3,3,kota
