,city,date,value
48,jind,2019-11-18,-3.2960000000000003
49,jind,2019-11-19,5.8420000000000005
50,jind,2019-11-20,3.2510000000000003
51,jind,2019-11-21,-3.193
52,jind,2019-11-22,0.052000000000000005
53,jind,2019-11-23,2.19
54,jind,2019-11-24,-4.033
55,jind,2019-11-25,-4.508
56,jind,2019-11-26,-5.529
57,jind,2019-11-27,-3.095
58,jind,2019-11-28,-8.24
59,jind,2019-11-29,-10.784
60,jind,2019-11-30,-19.16
61,jind,2019-12-01,-15.126
62,jind,2019-12-02,-2.596
63,jind,2019-12-03,-2.964
64,jind,2019-12-04,-8.337
65,jind,2019-12-05,-12.753
66,jind,2019-12-06,-9.155
67,jind,2019-12-07,-6.476
68,jind,2019-12-08,-7.08
69,jind,2019-12-09,-5.046
70,jind,2019-12-10,-5.563
71,jind,2019-12-11,-11.193
72,jind,2019-12-12,-12.764000000000001
73,jind,2019-12-13,-9.758
74,jind,2019-12-14,-7.359
75,jind,2019-12-15,-9.869
76,jind,2019-12-16,-7.843
77,jind,2019-12-17,-8.31
78,jind,2019-12-18,-11.363
79,jind,2019-12-19,-9.089
80,jind,2019-12-20,-6.1
81,jind,2019-12-21,-5.837000000000001
82,jind,2019-12-22,-3.636
83,jind,2019-12-23,-5.907
84,jind,2019-12-24,-6.0489999999999995
85,jind,2019-12-25,7.521
86,jind,2019-12-26,4.232
87,jind,2019-12-27,3.8489999999999998
88,jind,2019-12-28,-2.214
89,jind,2019-12-29,-7.752000000000001
