,city,date,value
48,noida,2019-11-18,6.782
49,noida,2019-11-19,2.9160000000000004
50,noida,2019-11-20,2.5639999999999996
51,noida,2019-11-21,-1.614
52,noida,2019-11-22,-0.192
53,noida,2019-11-23,-1.297
54,noida,2019-11-24,-1.714
55,noida,2019-11-25,-3.283
56,noida,2019-11-26,-6.1979999999999995
57,noida,2019-11-27,-5.375
58,noida,2019-11-28,-4.538
59,noida,2019-11-29,-0.6609999999999999
60,noida,2019-11-30,-6.511
61,noida,2019-12-01,-8.83
62,noida,2019-12-02,-5.422000000000001
63,noida,2019-12-03,-2.596
64,noida,2019-12-04,3.05
65,noida,2019-12-05,5.015
66,noida,2019-12-06,-3.9960000000000004
67,noida,2019-12-07,-7.537999999999999
68,noida,2019-12-08,-7.57
69,noida,2019-12-09,-5.369
70,noida,2019-12-10,-3.653
71,noida,2019-12-11,-0.642
72,noida,2019-12-12,1.304
73,noida,2019-12-13,-1.176
74,noida,2019-12-14,-4.0169999999999995
75,noida,2019-12-15,-2.407
76,noida,2019-12-16,-5.794
77,noida,2019-12-17,-8.228
78,noida,2019-12-18,-9.978
79,noida,2019-12-19,-8.35
80,noida,2019-12-20,-5.062
81,noida,2019-12-21,-3.997
82,noida,2019-12-22,-3.2969999999999997
83,noida,2019-12-23,4.9239999999999995
84,noida,2019-12-24,6.846
85,noida,2019-12-25,-3.6319999999999997
86,noida,2019-12-26,-6.928
87,noida,2019-12-27,5.407
88,noida,2019-12-28,-0.252
89,noida,2019-12-29,-8.58
0,embassy,2019-10-01,-4.988
1,embassy,2019-10-02,-5.024
2,embassy,2019-10-03,-0.603
3,embassy,2019-10-04,0.546
4,embassy,2019-10-05,4.919
5,embassy,2019-10-06,5.497000000000001
6,embassy,2019-10-07,7.263
7,embassy,2019-10-08,4.349
8,embassy,2019-10-09,-2.735
9,embassy,2019-10-10,-2.852
10,embassy,2019-10-11,-8.383
11,embassy,2019-10-12,-10.247
12,embassy,2019-10-13,-9.366
13,embassy,2019-10-14,-3.714
14,embassy,2019-10-15,2.3080000000000003
15,embassy,2019-10-16,4.854
16,embassy,2019-10-17,3.208
17,embassy,2019-10-18,-3.239
18,embassy,2019-10-19,-11.061
19,embassy,2019-10-20,-5.12
20,embassy,2019-10-21,-14.738
21,embassy,2019-10-22,-13.126
22,embassy,2019-10-23,-12.505
23,embassy,2019-10-24,-11.235999999999999
24,embassy,2019-10-25,-6.039
25,embassy,2019-10-26,-2.9619999999999997
26,embassy,2019-10-27,-6.9510000000000005
27,embassy,2019-10-28,-9.288
28,embassy,2019-10-29,-9.427999999999999
29,embassy,2019-10-30,-5.853
30,embassy,2019-10-31,-4.271
31,embassy,2019-11-01,3.003
32,embassy,2019-11-02,-1.456
33,embassy,2019-11-03,-4.282
34,embassy,2019-11-04,-8.005
35,embassy,2019-11-05,-6.47
36,embassy,2019-11-06,-2.609
37,embassy,2019-11-07,-0.713
38,embassy,2019-11-08,4.655
39,embassy,2019-11-09,9.461
40,embassy,2019-11-10,-3.576
41,embassy,2019-11-11,2.761
42,embassy,2019-11-12,5.251
43,embassy,2019-11-13,4.9639999999999995
44,embassy,2019-11-14,1.595
45,embassy,2019-11-15,-1.011
46,embassy,2019-11-16,5.025
47,embassy,2019-11-17,4.65
48,embassy,2019-11-18,7.651
49,embassy,2019-11-19,3.051
50,embassy,2019-11-20,2.6919999999999997
51,embassy,2019-11-21,-1.105
52,embassy,2019-11-22,-1.081
53,embassy,2019-11-23,-0.9990000000000001
54,embassy,2019-11-24,-1.156
55,embassy,2019-11-25,-3.648
56,embassy,2019-11-26,-7.631
57,embassy,2019-11-27,-5.718999999999999
58,embassy,2019-11-28,-4.232
59,embassy,2019-11-29,4.269
60,embassy,2019-11-30,-5.778
61,embassy,2019-12-01,-6.693
62,embassy,2019-12-02,-3.5069999999999997
63,embassy,2019-12-03,-2.676
64,embassy,2019-12-04,5.114
65,embassy,2019-12-05,6.707999999999999
66,embassy,2019-12-06,-3.284
67,embassy,2019-12-07,-7.791
68,embassy,2019-12-08,-7.771
69,embassy,2019-12-09,-6.432
70,embassy,2019-12-10,-5.278
71,embassy,2019-12-11,1.375
72,embassy,2019-12-12,3.127
73,embassy,2019-12-13,-0.14800000000000002
74,embassy,2019-12-14,-2.171
75,embassy,2019-12-15,-2.061
76,embassy,2019-12-16,-5.928999999999999
77,embassy,2019-12-17,-9.277000000000001
78,embassy,2019-12-18,-7.718
79,embassy,2019-12-19,-8.352
80,embassy,2019-12-20,-4.99
81,embassy,2019-12-21,-5.0569999999999995
82,embassy,2019-12-22,-3.707
83,embassy,2019-12-23,4.836
84,embassy,2019-12-24,8.258
85,embassy,2019-12-25,-5.191
86,embassy,2019-12-26,-7.747999999999999
87,embassy,2019-12-27,4.738
88,embassy,2019-12-28,-0.382
89,embassy,2019-12-29,-9.304
0,jind,2019-10-01,-4.948
1,jind,2019-10-02,-6.507000000000001
2,jind,2019-10-03,-2.471
3,jind,2019-10-04,-0.319
4,jind,2019-10-05,3.2230000000000003
5,jind,2019-10-06,5.332000000000001
6,jind,2019-10-07,7.119
7,jind,2019-10-08,2.8510000000000004
8,jind,2019-10-09,-2.804
9,jind,2019-10-10,-2.022
