,Unnamed: 0,Date,Country,City,Specie,count,min,max,median,variance
3137,202581,2021-03-11,IN,Hyderabad,pressure,116,705.0,1019.0,713.2,111005.0
3138,202582,2021-03-24,IN,Hyderabad,pressure,137,705.5,1018.0,712.5,101047.0
3139,202583,2021-03-31,IN,Hyderabad,pressure,137,701.0,1012.0,707.5,99608.2
3140,202584,2021-05-04,IN,Hyderabad,pressure,128,705.0,1014.0,709.7,104074.0
3141,202585,2021-06-13,IN,Hyderabad,pressure,96,696.0,1007.0,708.2,167931.0
3142,202586,2021-01-01,IN,Hyderabad,pressure,129,708.0,1020.0,714.0,96182.0
3143,202587,2021-01-08,IN,Hyderabad,pressure,117,706.5,1016.0,712.0,108993.0
3144,202588,2021-01-25,IN,Hyderabad,pressure,113,705.0,1019.0,715.0,118433.0
3145,202589,2021-03-02,IN,Hyderabad,pressure,136,-3252.1,2932.5,714.2,3128510.0
3146,202590,2021-03-27,IN,Hyderabad,pressure,144,704.5,1015.5,711.0,126995.0
3147,202591,2021-05-23,IN,Hyderabad,pressure,105,701.0,1011.0,707.5,160554.0
3148,202592,2021-01-17,IN,Hyderabad,pressure,136,707.0,1017.0,713.0,96585.0
3149,202593,2021-03-30,IN,Hyderabad,pressure,142,702.7,1013.0,708.7,119148.0
3150,202594,2021-05-05,IN,Hyderabad,pressure,138,705.0,1014.0,710.0,130736.0
3151,202595,2021-01-05,IN,Hyderabad,pressure,136,706.0,1019.0,714.0,96739.6
3152,202596,2021-01-18,IN,Hyderabad,pressure,135,20.5,1019.0,708.2,1199890.0
3153,202597,2021-02-25,IN,Hyderabad,pressure,111,-2708.4,3174.0,714.0,2031140.0
3154,202598,2021-04-15,IN,Hyderabad,pressure,108,704.7,1016.0,712.0,116564.0
3155,202599,2021-04-17,IN,Hyderabad,pressure,136,704.5,1791.2,711.7,185174.0
3156,202600,2021-05-01,IN,Hyderabad,pressure,144,705.2,1014.0,709.7,125235.0
3157,202601,2021-04-20,IN,Hyderabad,pressure,144,704.2,1013.0,709.0,125142.0
3158,202602,2021-04-23,IN,Hyderabad,pressure,144,705.0,1013.5,711.0,126464.0
3159,202603,2021-02-14,IN,Hyderabad,pressure,113,706.0,1019.0,715.0,118295.0
3160,202604,2021-03-01,IN,Hyderabad,pressure,136,623.7,1282.0,714.0,136816.0
3161,202605,2021-03-10,IN,Hyderabad,pressure,135,706.0,1019.0,713.2,91983.8
3162,202606,2021-03-13,IN,Hyderabad,pressure,136,705.7,1020.0,714.7,97083.6
3163,202607,2021-04-03,IN,Hyderabad,pressure,138,702.0,1616.2,709.0,259312.0
3164,202608,2021-04-08,IN,Hyderabad,pressure,136,705.0,1015.0,710.0,95880.5
3165,202609,2021-04-26,IN,Hyderabad,pressure,144,671.2,1014.0,710.0,127204.0
3166,202610,2021-04-30,IN,Hyderabad,pressure,135,704.2,1014.0,710.0,133041.0
3167,202611,2021-06-07,IN,Hyderabad,pressure,144,703.2,1012.0,708.2,125904.0
3168,202612,2021-06-11,IN,Hyderabad,pressure,119,698.7,1008.5,708.0,145020.0
