,Date,Country,City,Specie,count,min,max,median,variance
3483,07/05/2020,IN,Hyderabad,pm25,120,30.0,118.0,83.0,3386.41
3484,13/05/2020,IN,Hyderabad,pm25,144,29.0,155.0,71.0,8456.71
3485,04/05/2020,IN,Hyderabad,pm25,120,56.0,128.0,87.0,1952.76
3486,02/02/2020,IN,Hyderabad,pm25,110,65.0,156.0,109.0,5888.47
3487,16/05/2020,IN,Hyderabad,pm25,130,37.0,158.0,79.0,7072.91
3488,26/05/2020,IN,Hyderabad,pm25,106,65.0,120.0,95.0,1420.74
3489,02/06/2020,IN,Hyderabad,pm25,119,5.0,151.0,52.0,9223.0
3490,14/06/2020,IN,Hyderabad,pm25,144,9.0,129.0,41.0,2696.99
3491,10/05/2020,IN,Hyderabad,pm25,129,19.0,165.0,76.0,11886.0
3492,10/06/2020,IN,Hyderabad,pm25,126,30.0,126.0,65.0,2088.58
3493,19/01/2020,IN,Hyderabad,pm25,95,30.0,162.0,89.0,10064.7
3494,29/01/2020,IN,Hyderabad,pm25,125,72.0,183.0,152.0,8112.29
3495,18/02/2020,IN,Hyderabad,pm25,143,38.0,166.0,116.0,14232.2
3496,07/03/2020,IN,Hyderabad,pm25,144,53.0,158.0,103.0,5270.66
3497,08/03/2020,IN,Hyderabad,pm25,143,64.0,156.0,91.0,4936.23
3498,11/04/2020,IN,Hyderabad,pm25,144,34.0,165.0,74.0,6337.67
3499,16/04/2020,IN,Hyderabad,pm25,142,73.0,153.0,105.0,3829.96
3500,09/02/2020,IN,Hyderabad,pm25,144,46.0,162.0,112.0,8204.87
3501,01/03/2020,IN,Hyderabad,pm25,144,74.0,159.0,112.0,4575.4
3502,05/03/2020,IN,Hyderabad,pm25,138,75.0,187.0,151.0,7056.34
3503,06/03/2020,IN,Hyderabad,pm25,144,36.0,163.0,91.0,7835.47
3504,06/05/2020,IN,Hyderabad,pm25,120,47.0,177.0,78.0,2426.45
3505,17/02/2020,IN,Hyderabad,pm25,129,87.0,185.0,152.0,5414.12
3506,02/03/2020,IN,Hyderabad,pm25,144,63.0,166.0,137.0,7588.67
3507,01/05/2020,IN,Hyderabad,pm25,119,34.0,113.0,76.0,2410.03
3508,03/06/2020,IN,Hyderabad,pm25,131,2.0,152.0,41.0,6556.68
3509,26/06/2020,IN,Hyderabad,pm25,140,57.0,134.0,82.0,2054.13
3510,24/01/2020,IN,Hyderabad,pm25,144,60.0,198.0,157.0,10802.8
3511,28/03/2020,IN,Hyderabad,pm25,113,50.0,158.0,101.0,8501.98
3512,09/04/2020,IN,Hyderabad,pm25,96,54.0,157.0,82.0,3110.21
3513,30/04/2020,IN,Hyderabad,pm25,120,41.0,99.0,71.0,1545.87
3514,29/05/2020,IN,Hyderabad,pm25,107,32.0,121.0,70.0,2023.8
3515,09/06/2020,IN,Hyderabad,pm25,120,38.0,134.0,60.0,2256.46
3516,21/06/2020,IN,Hyderabad,pm25,129,17.0,155.0,72.0,5464.65
3517,21/02/2020,IN,Hyderabad,pm25,120,52.0,155.0,103.0,5312.3
3518,29/02/2020,IN,Hyderabad,pm25,134,65.0,161.0,112.0,4721.1
3519,04/03/2020,IN,Hyderabad,pm25,144,42.0,184.0,124.0,12846.9
3520,02/05/2020,IN,Hyderabad,pm25,101,30.0,147.0,77.0,4730.78
3521,08/06/2020,IN,Hyderabad,pm25,120,40.0,154.0,66.0,1959.58
3522,30/12/2019,IN,Hyderabad,pm25,110,119.0,176.0,160.0,971.74
3523,02/01/2020,IN,Hyderabad,pm25,132,25.0,160.0,85.0,9423.59
3524,09/03/2020,IN,Hyderabad,pm25,144,61.0,165.0,89.0,6205.33
